Frame,Differences,Time
4131,91000,@0h:2m:52s
4733,113330,@0h:3m:17s
4995,85838,@0h:3m:28s
6613,153126,@0h:4m:36s
6679,158376,@0h:4m:38s
7546,97884,@0h:5m:14s
8002,89930,@0h:5m:33s
8129,118646,@0h:5m:39s
8346,86490,@0h:5m:48s
8436,97894,@0h:5m:52s
8558,109522,@0h:5m:57s
9086,103278,@0h:6m:19s
10977,84396,@0h:7m:37s
13249,88006,@0h:9m:12s
13333,90292,@0h:9m:16s
13547,187804,@0h:9m:24s
14656,86710,@0h:10m:11s
14702,96768,@0h:10m:13s
16903,122516,@0h:11m:44s
17585,165904,@0h:12m:13s
17695,198106,@0h:12m:17s
18121,123640,@0h:12m:35s
20294,93838,@0h:14m:6s
20386,118554,@0h:14m:9s
20858,103136,@0h:14m:29s
21271,90904,@0h:14m:46s
21454,99690,@0h:14m:54s
21499,87868,@0h:14m:56s
22782,113248,@0h:15m:49s
25047,95266,@0h:17m:24s
25355,113568,@0h:17m:36s
27261,112250,@0h:18m:56s
27494,84422,@0h:19m:6s
28311,120814,@0h:19m:40s
28347,105268,@0h:19m:41s
29676,114064,@0h:20m:36s
29946,103054,@0h:20m:48s
30457,131652,@0h:21m:9s
31497,152628,@0h:21m:52s
31587,113116,@0h:21m:56s
31858,83834,@0h:22m:7s
32003,120652,@0h:22m:13s
32178,95860,@0h:22m:21s
32650,99796,@0h:22m:40s
33906,80502,@0h:23m:33s
34092,97600,@0h:23m:40s
34149,163522,@0h:23m:43s
34253,87926,@0h:23m:47s
34460,96590,@0h:23m:56s
34899,134726,@0h:24m:14s
35155,105832,@0h:24m:25s
35579,92158,@0h:24m:42s
35932,91210,@0h:24m:57s
36857,90462,@0h:25m:36s
36928,107764,@0h:25m:39s
37274,113164,@0h:25m:53s
41464,135158,@0h:28m:48s
42021,110350,@0h:29m:11s
42192,104248,@0h:29m:18s
42318,137170,@0h:29m:23s
42806,133974,@0h:29m:44s
42946,110602,@0h:29m:49s
43890,98760,@0h:30m:29s
44206,88470,@0h:30m:42s
44469,94208,@0h:30m:53s
45756,88578,@0h:31m:46s
47746,104096,@0h:33m:9s
48331,85722,@0h:33m:34s
48835,86432,@0h:33m:55s
50471,111304,@0h:35m:3s
50532,120380,@0h:35m:6s
51282,100804,@0h:35m:37s
51330,91434,@0h:35m:39s
51370,116068,@0h:35m:40s
51880,114016,@0h:36m:2s
52472,190228,@0h:36m:26s
52797,109364,@0h:36m:40s
53160,112842,@0h:36m:55s
53361,107596,@0h:37m:3s
54035,106030,@0h:37m:31s
55656,86970,@0h:38m:39s
55768,84758,@0h:38m:44s
55982,104460,@0h:38m:53s
56078,107856,@0h:38m:57s
57166,120572,@0h:39m:42s
57368,90808,@0h:39m:50s
57718,94284,@0h:40m:5s
57921,108772,@0h:40m:13s
59056,86314,@0h:41m:1s
59142,104120,@0h:41m:4s
61042,87024,@0h:42m:23s
61197,90314,@0h:42m:30s
61518,137308,@0h:42m:43s
63558,82760,@0h:44m:8s
65235,85282,@0h:45m:18s
65847,95742,@0h:45m:44s
66932,111678,@0h:46m:29s
67748,106260,@0h:47m:3s
67961,131238,@0h:47m:12s
68123,81914,@0h:47m:18s
68270,83466,@0h:47m:25s
69978,118962,@0h:48m:36s
70002,94324,@0h:48m:37s
70042,84118,@0h:48m:38s
70120,100068,@0h:48m:42s
70192,102862,@0h:48m:45s
70312,90446,@0h:48m:50s
71039,83226,@0h:49m:20s
71103,80310,@0h:49m:23s
72317,84780,@0h:50m:13s
73933,88522,@0h:51m:21s
81606,97534,@0h:56m:40s
81738,86546,@0h:56m:46s
84111,87530,@0h:58m:25s
84142,113370,@0h:58m:26s
84205,84834,@0h:58m:29s
86694,108922,@1h:60m:12s
88541,111096,@1h:1m:29s
90448,84670,@1h:2m:49s
93330,82552,@1h:4m:49s
93722,87530,@1h:5m:5s
94955,84132,@1h:5m:56s
95275,87682,@1h:6m:10s
96799,92914,@1h:7m:13s
97514,98976,@1h:7m:43s
97660,106402,@1h:7m:49s
97869,109672,@1h:7m:58s
98122,96206,@1h:8m:8s
98416,136584,@1h:8m:21s
100797,90510,@1h:9m:60s
101436,115944,@1h:10m:26s
102188,88726,@1h:10m:58s
102374,126896,@1h:11m:6s
102610,157358,@1h:11m:15s
103338,146420,@1h:11m:46s
103702,80590,@1h:12m:1s
103906,112646,@1h:12m:9s
104683,94954,@1h:12m:42s
104860,97084,@1h:12m:49s
105117,123312,@1h:12m:60s
105588,87738,@1h:13m:20s
106784,82174,@1h:14m:9s
106809,123626,@1h:14m:10s
106831,103540,@1h:14m:11s
106951,99774,@1h:14m:16s
107272,84064,@1h:14m:30s
107903,121432,@1h:14m:56s
107986,97528,@1h:14m:59s
108142,112068,@1h:15m:6s
108342,144678,@1h:15m:14s
109792,207068,@1h:16m:15s
110089,95694,@1h:16m:27s
110868,94558,@1h:16m:60s
111084,93472,@1h:17m:8s
111697,105306,@1h:17m:34s
