Differences,Boundaries
2058,0
1816,0
744,0
650,0
2340,0
1990,0
3700,0
748,0
2380,0
964,0
1012,0
1782,0
2264,0
736,0
968,0
2968,0
2570,0
1718,0
160,0
1358,0
536,0
1614,0
1130,0
1690,0
1036,0
1884,0
506,0
1538,0
1378,0
4850,0
434,0
1174,0
1868,0
1294,0
752,0
654,0
2024,0
340,0
546,0
1230,0
1882,0
2256,0
730,0
492,0
1358,0
1618,0
42,0
1444,0
1756,0
1424,0
1034,0
1392,0
1162,0
2350,0
220,0
2830,0
406,0
2180,0
1274,0
1720,0
476,0
1824,0
326,0
1728,0
2134,0
2014,0
646,0
1604,0
850,0
1118,0
1074,0
1976,0
1436,0
826,0
312,0
1012,0
1090,0
620,0
522,0
972,0
1452,0
520,0
1432,0
1812,0
1920,0
1584,0
94,0
908,0
112,0
1038,0
144,0
1942,0
1728,0
88,0
92,0
1854,0
1126,0
1514,0
274,0
1806,0
1436,0
854,0
492,0
1092,0
870,0
292,0
186,0
1112,0
2928,0
918,0
1570,0
2978,0
1980,0
1806,0
1476,0
664,0
2410,0
222,0
996,0
932,0
1786,0
454,0
344,0
1036,0
1576,0
112,0
62,0
888,0
1562,0
464,0
330,0
1508,0
1338,0
974,0
816,0
2082,0
522,0
2322,0
148,0
868,0
592,0
1686,0
1874,0
870,0
316,0
2218,0
2424,0
392,0
390,0
2256,0
1240,0
938,0
1016,0
772,0
574,0
582,0
2230,0
56,0
996,0
982,0
3100,0
116,0
562,0
1938,0
2410,0
670,0
288,0
1402,0
1092,0
598,0
82,0
1430,0
940,0
348,0
302,0
782,0
1686,0
1070,0
748,0
874,0
1520,0
178,0
220,0
1746,0
2160,0
164,0
714,0
1816,0
2406,0
484,0
544,0
1178,0
1934,0
272,0
438,0
2762,0
1728,0
928,0
296,0
1494,0
1306,0
552,0
22,0
1630,0
1128,0
884,0
88,0
1106,0
1434,0
304,0
140,0
1056,0
610,0
1058,0
1120,0
1630,0
1082,0
1940,0
1084,0
1664,0
1132,0
558,0
236,0
1368,0
1312,0
132,0
120,0
1424,0
2468,0
684,0
444,0
1268,0
1850,0
680,0
1204,0
1842,0
2566,0
264,0
2306,0
1162,0
2478,0
3100,0
3734,0
1954,0
4966,0
3664,0
6000,0
3424,0
5116,0
5964,0
8330,0
9130,0
6920,0
6856,0
9370,0
9556,0
8574,0
11878,0
11012,0
16020,0
18836,0
17812,0
17168,0
15800,0
3360,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
236,0
2184,0
6488,0
2680,0
34,0
48948,0
23838,0
10290,0
12390,0
21394,0
584,0
126702,1
43892,0
55458,0
91542,0
47440,0
37900,0
91864,0
49528,0
56414,0
88010,0
25780,0
25582,0
84240,0
38618,0
31426,0
112918,1
67086,0
43226,0
111606,0
50010,0
55012,0
76828,0
46922,0
28584,0
94726,0
57210,0
49202,0
78816,0
32792,0
10226,0
44018,0
39564,0
24716,0
106598,1
50986,0
51450,0
79270,0
49084,0
29630,0
63536,0
43070,0
27330,0
25070,0
32646,0
16560,0
61454,0
49128,0
25130,0
39618,0
822,0
37192,0
100600,0
79594,0
62570,0
97784,0
67260,0
37726,0
128946,1
72944,0
57914,0
73480,0
53996,0
46022,0
102740,0
35400,0
1396,0
63418,0
46680,0
45630,0
50984,0
43136,0
21488,0
90454,0
55594,0
35600,0
128372,1
67366,0
40216,0
71572,0
53628,0
27112,0
71470,0
21474,0
1894,0
76922,0
43772,0
52418,0
88908,0
55376,0
30338,0
34388,0
38080,0
19858,0
65870,0
43182,0
33640,0
67960,0
20906,0
34850,0
97912,0
25616,0
18158,0
73526,0
55182,0
29868,0
51870,0
65456,0
49658,0
104936,0
23002,0
28072,0
34148,0
21308,0
22652,0
12102,0
4,0
10270,0
66858,0
76388,0
48376,0
20250,0
5640,0
92970,1
67478,0
8362,0
7606,0
42618,0
30206,0
54138,0
53388,0
14484,0
2316,0
36416,0
25178,0
24912,0
24774,0
15150,0
3470,0
2188,0
20286,0
56966,0
22032,0
14980,0
47552,0
102346,0
57054,0
52808,0
18408,0
19934,0
25218,0
13896,0
18518,0
1454,0
1192,0
19384,0
7690,0
6864,0
18174,0
16774,0
32038,0
2036,0
14678,0
188,0
7284,0
418,0
2434,0
31280,0
22618,0
8756,0
16840,0
2074,0
4426,0
13008,0
11700,0
5442,0
18832,0
11134,0
14522,0
6888,0
6046,0
2190,0
2294,0
3768,0
5424,0
1680,0
3008,0
834,0
458,0
190,0
238,0
1080,0
400,0
622,0
146,0
1032,0
304,0
390,0
58,0
488,0
68,0
648,0
588,0
478,0
130,0
30,0
52,0
524,0
242,0
1570,0
130,0
2428,0
1030,0
1766,0
2434,0
1458,0
2122,0
1702,0
450,0
2008,0
25264,0
1946,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2756,0
9084,0
10228,0
6100,0
6780,0
2538,0
2214,0
198,0
1794,0
926,0
872,0
3082,0
342,0
2452,0
160,0
2438,0
332,0
1690,0
768,0
1992,0
2968,0
888,0
1614,0
3780,0
3238,0
2310,0
2530,0
4630,0
874,0
6454,0
1340,0
4542,0
1694,0
2006,0
2314,0
4176,0
4508,0
1614,0
5280,0
3976,0
3674,0
2486,0
8054,0
2038,0
8982,0
1520,0
8842,0
6482,0
3504,0
3554,0
4120,0
3502,0
384,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,0
18,0
34,0
142,0
2,0
176,0
414,0
230,0
562,0
352,0
382,0
434,0
578,0
360,0
2256,0
1190,0
460,0
1842,0
8398,0
4448,0
2406,0
2090,0
2926,0
1548,0
1074,0
1274,0
2892,0
1582,0
1148,0
1612,0
2424,0
638,0
258,0
70,0
344,0
1572,0
52,0
510,0
948,0
176,0
364,0
1182,0
144,0
612,0
534,0
1374,0
12,0
1222,0
1000,0
1824,0
10,0
704,0
750,0
208,0
1290,0
424,0
176,0
890,0
1526,0
212,0
522,0
1054,0
2256,0
486,0
526,0
674,0
2070,0
14,0
196,0
570,0
2106,0
1076,0
74,0
1194,0
1078,0
404,0
380,0
36,0
978,0
288,0
214,0
132,0
522,0
472,0
120,0
110,0
284,0
770,0
52,0
842,0
686,0
3634,0
4312,0
2932,0
6098,0
1332,0
154,0
2426,0
1014,0
264,0
3734,0
5762,0
5620,0
4006,0
2332,0
3566,0
2234,0
836,0
2532,0
1210,0
1960,0
1716,0
3162,0
44,0
2234,0
1464,0
1568,0
404,0
2464,0
48,0
752,0
32,0
1684,0
1190,0
1522,0
1042,0
988,0
3792,0
1168,0
340,0
318,0
5102,0
1208,0
1942,0
238,0
568,0
1932,0
1836,0
328,0
1360,0
378,0
2270,0
908,0
2066,0
328,0
784,0
506,0
2240,0
294,0
1864,0
756,0
92,0
3678,0
11590,0
596,0
872,0
3048,0
3834,0
2532,0
7534,0
4480,0
4536,0
1096,0
2306,0
4102,0
220,0
4612,0
378,0
2580,0
3388,0
1380,0
5390,0
13186,0
15836,0
4400,0
5900,0
3066,0
1652,0
13844,0
11810,0
22318,0
10774,0
6832,0
1222,0
5270,0
5204,0
7892,0
1198,0
6458,0
3576,0
1610,0
1768,0
3458,0
4818,0
3926,0
1838,0
724,0
16,0
1144,0
1136,0
894,0
698,0
170,0
812,0
404,0
928,0
476,0
698,0
626,0
1458,0
636,0
852,0
1100,0
442,0
428,0
528,0
722,0
254,0
128,0
1958,0
34,0
386,0
34,0
102,0
406,0
9416,0
20562,0
3140,0
734,0
6386,0
22048,0
5468,0
1642,0
58,0
1818,0
3662,0
2064,0
2510,0
4142,0
768,0
7046,0
1408,0
272,0
12526,0
3316,0
82,0
266,0
1314,0
424,0
320,0
616,0
1388,0
1052,0
288,0
1014,0
1098,0
798,0
884,0
146,0
104,0
500,0
528,0
474,0
574,0
1086,0
506,0
1380,0
1192,0
1038,0
1170,0
1320,0
720,0
520,0
422,0
44,0
856,0
468,0
778,0
346,0
938,0
1492,0
898,0
514,0
912,0
1504,0
670,0
556,0
308,0
24112,0
5790,0
1470,0
5396,0
4048,0
4176,0
3964,0
2186,0
7688,0
4468,0
2084,0
860,0
5314,0
1614,0
364,0
192,0
1156,0
1856,0
270,0
2892,0
2128,0
3608,0
141406,1
0,0
73538,0
17936,0
7902,0
23202,0
19370,0
16588,0
7898,0
6602,0
6518,0
2940,0
958,0
3298,0
1258,0
2908,0
1830,0
1386,0
3852,0
3682,0
3602,0
30,0
334,0
658,0
2172,0
2580,0
644,0
1914,0
1416,0
582,0
76,0
558,0
1066,0
326,0
96,0
644,0
524,0
680,0
228,0
412,0
888,0
240,0
180,0
408,0
182,0
770,0
930,0
236,0
520,0
1072,0
1026,0
870,0
2214,0
1148,0
2034,0
1678,0
2868,0
862,0
1790,0
474,0
798,0
236,0
2048,0
1916,0
464,0
642,0
522,0
1336,0
1374,0
3028,0
3786,0
6930,0
2248,0
4846,0
10142,0
8192,0
7038,0
16138,0
7978,0
12192,0
4702,0
9070,0
2650,0
2114,0
2718,0
3182,0
1402,0
1616,0
2790,0
2296,0
1256,0
3004,0
2326,0
3014,0
1838,0
2126,0
2200,0
92,0
178,0
212,0
934,0
3060,0
3836,0
1052,0
3626,0
3250,0
2922,0
3484,0
1912,0
510,0
868,0
386,0
126,0
254,0
2046,0
168,0
652,0
268,0
1276,0
306,0
700,0
416,0
952,0
200,0
1332,0
710,0
712,0
536,0
788,0
1212,0
108,0
4,0
3116,0
1800,0
982,0
820,0
2264,0
1766,0
462,0
924,0
1154,0
1470,0
420,0
624,0
642,0
1010,0
270,0
1212,0
1184,0
518,0
672,0
2140,0
536,0
950,0
996,0
6000,0
42378,0
7628,0
10110,0
7274,0
19298,0
14736,0
448,0
67864,0
33758,0
12858,0
18908,0
13774,0
38756,0
19852,0
38122,0
50042,0
78,0
1336,0
2198,0
15066,0
494,0
9608,0
22152,0
41948,0
18592,0
18468,0
51042,0
8892,0
9542,0
20294,0
27498,0
34690,0
35170,0
35732,0
13816,0
11294,0
2340,0
2102,0
1290,0
564,0
684,0
50,0
286,0
154,0
696,0
1010,0
502,0
418,0
1214,0
878,0
338,0
20,0
882,0
14,0
292,0
158,0
802,0
888,0
