Differences,Boundaries
712,0
1168,0
62,0
1748,0
738,0
446,0
474,0
834,0
776,0
360,0
214,0
790,0
406,0
566,0
466,0
396,0
734,0
338,0
320,0
1022,0
1408,0
768,0
598,0
802,0
404,0
710,0
516,0
1248,0
618,0
370,0
1768,0
1456,0
1154,0
1608,0
788,0
1624,0
280,0
624,0
1006,0
1176,0
334,0
150,0
622,0
758,0
318,0
194,0
52,0
1810,0
1216,0
194,0
370,0
404,0
1326,0
276,0
574,0
1120,0
980,0
488,0
214,0
660,0
1108,0
454,0
368,0
1030,0
798,0
42,0
474,0
708,0
1004,0
528,0
712,0
974,0
478,0
288,0
354,0
818,0
850,0
380,0
572,0
1404,0
574,0
782,0
280,0
856,0
1204,0
524,0
228,0
850,0
1350,0
540,0
144,0
850,0
640,0
282,0
456,0
400,0
1712,0
12,0
460,0
216,0
1478,0
296,0
550,0
1216,0
882,0
842,0
366,0
1080,0
570,0
766,0
390,0
1590,0
386,0
270,0
482,0
1156,0
196,0
282,0
722,0
800,0
102,0
684,0
40,0
270,0
866,0
128,0
338,0
1044,0
396,0
456,0
398,0
142,0
2194,0
220,0
110,0
112,0
1336,0
26,0
348,0
496,0
582,0
198,0
238,0
684,0
1358,0
178,0
40,0
450,0
142,0
318,0
136,0
1654,0
488,0
12,0
26,0
542,0
1314,0
156,0
192,0
384,0
712,0
600,0
80,0
242,0
230,0
1244,0
442,0
296,0
362,0
1752,0
90,0
510,0
1184,0
616,0
196,0
966,0
508,0
1016,0
952,0
260,0
786,0
824,0
362,0
1030,0
488,0
344,0
256,0
222,0
1418,0
680,0
44,0
816,0
162,0
48,0
2084,0
618,0
184,0
504,0
318,0
164,0
20,0
632,0
1624,0
806,0
1908,0
1178,0
672,0
146,0
2014,0
546,0
354,0
542,0
2450,0
678,0
682,0
344,0
2570,0
1696,0
328,0
2756,0
916,0
774,0
1312,0
2450,0
2050,0
930,0
654,0
3888,0
1982,0
310,0
1610,0
3316,0
2822,0
2592,0
2596,0
3288,0
4716,0
2660,0
3584,0
4442,0
3948,0
3052,0
5692,0
4628,0
6210,0
5566,0
6112,0
6176,0
5990,0
4672,0
6092,0
6432,0
6254,0
8186,0
7356,0
7526,0
11942,0
2892,0
1194,0
74,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
356,0
5844,0
8558,0
7764,0
6828,0
5138,0
3482,0
5080,0
2708,0
3162,0
2220,0
2294,0
1340,0
1492,0
986,0
1314,0
576,0
1188,0
22,0
4,0
2,0
40,0
2,0
4,0
12,0
14,0
24,0
8,0
16,0
4,0
2,0
8,0
6,0
12,0
10,0
0,0
10,0
28,0
38,0
8,0
8,0
4,0
20,0
16,0
0,0
2,0
14,0
6,0
0,0
8,0
2,0
10,0
0,0
0,0
2,0
2,0
52,0
22,0
0,0
2,0
0,0
18,0
4,0
10,0
2,0
4,0
2,0
2,0
4,0
2,0
12,0
12,0
2,0
4,0
4,0
8,0
12,0
14,0
4,0
28,0
26,0
4,0
2,0
6,0
2,0
2,0
2,0
4,0
4,0
2,0
6,0
10,0
6,0
2,0
562,0
714,0
988,0
1022,0
1134,0
1682,0
1870,0
1298,0
3562,0
2488,0
2868,0
4566,0
4778,0
3038,0
6356,0
5578,0
4180,0
7056,0
3822,0
2912,0
2,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
596,0
1126,0
1722,0
694,0
1928,0
1638,0
1822,0
1020,0
1802,0
1542,0
8,0
56,0
544,0
858,0
208,0
76,0
526,0
250,0
504,0
1824,0
544,0
340,0
206,0
430,0
1028,0
98,0
1046,0
240,0
654,0
1340,0
1142,0
852,0
140,0
364,0
1758,0
124,0
310,0
42,0
34,0
1140,0
740,0
584,0
1734,0
1146,0
1312,0
1524,0
954,0
850,0
704,0
27012,0
24336,0
8510,0
3574,0
2362,0
1110,0
422,0
704,0
614,0
1602,0
1530,0
1148,0
402,0
198,0
546,0
382,0
88,0
694,0
412,0
1246,0
996,0
910,0
1244,0
436,0
170,0
700,0
392,0
150,0
1096,0
192,0
552,0
1412,0
282,0
142,0
166,0
708,0
1178,0
842,0
132,0
744,0
252,0
1102,0
730,0
1102,0
926,0
540,0
182,0
910,0
742,0
446,0
70,0
94,0
646,0
610,0
54,0
640,0
514,0
608,0
2492,0
54,0
1300,0
782,0
1062,0
518,0
190,0
926,0
1426,0
372,0
164,0
822,0
454,0
1586,0
814,0
1016,0
1486,0
52,0
6,0
1522,0
312,0
58,0
32,0
1532,0
1336,0
542,0
388,0
62,0
1078,0
260,0
182,0
