Frame,Differences,Time
308,126702,@0h:0m:13s
323,112918,@0h:0m:13s
341,106598,@0h:0m:14s
365,128946,@0h:0m:15s
383,128372,@0h:0m:16s
430,92970,@0h:0m:18s
934,141406,@0h:0m:39s
1710,131688,@0h:1m:11s
2779,247608,@0h:1m:56s
3844,113870,@0h:2m:40s
4802,83570,@0h:3m:20s
5980,95448,@0h:4m:9s
6044,99496,@0h:4m:12s
6084,106878,@0h:4m:14s
6225,98978,@0h:4m:19s
6243,124010,@0h:4m:20s
6267,105626,@0h:4m:21s
7924,114694,@0h:5m:30s
9773,151116,@0h:6m:47s
9812,147020,@0h:6m:49s
9934,158188,@0h:6m:54s
9962,161500,@0h:6m:55s
9973,142910,@0h:6m:56s
13992,229476,@0h:9m:43s
13994,234524,@0h:9m:43s
14204,223030,@0h:9m:52s
14207,224548,@0h:9m:52s
14337,234244,@0h:9m:57s
14340,239186,@0h:9m:58s
14386,172166,@0h:9m:59s
14426,145968,@0h:10m:1s
14510,112566,@0h:10m:5s
14607,139832,@0h:10m:9s
14709,98714,@0h:10m:13s
14777,91298,@0h:10m:16s
14792,94716,@0h:10m:16s
14834,94368,@0h:10m:18s
19784,83960,@0h:13m:44s
20475,121386,@0h:14m:13s
21225,170896,@0h:14m:44s
21227,172210,@0h:14m:44s
21244,141654,@0h:14m:45s
21247,149496,@0h:14m:45s
22136,83746,@0h:15m:22s
22162,92480,@0h:15m:23s
22809,117432,@0h:15m:50s
23161,124742,@0h:16m:5s
24444,116196,@0h:16m:58s
24939,83802,@0h:17m:19s
25370,96124,@0h:17m:37s
25375,100424,@0h:17m:37s
25582,83408,@0h:17m:46s
25812,116602,@0h:17m:56s
26808,81846,@0h:18m:37s
29554,83388,@0h:20m:31s
29904,93084,@0h:20m:46s
30705,82722,@0h:21m:19s
31124,95930,@0h:21m:37s
31255,88194,@0h:21m:42s
31597,140290,@0h:21m:57s
31622,105664,@0h:21m:58s
31633,115460,@0h:21m:58s
33533,107286,@0h:23m:17s
33687,93524,@0h:23m:24s
34157,137156,@0h:23m:43s
34242,95898,@0h:23m:47s
34262,92852,@0h:23m:48s
34451,116148,@0h:23m:55s
34477,101940,@0h:23m:57s
34794,110072,@0h:24m:10s
34845,102686,@0h:24m:12s
34987,124412,@0h:24m:18s
35031,143890,@0h:24m:20s
35746,101038,@0h:24m:49s
