Frame,Differences,Time
1425,314684,@0h:0m:59s
1426,406736,@0h:0m:59s
1427,497432,@0h:0m:59s
5305,363874,@0h:3m:41s
5306,328090,@0h:3m:41s
5308,483698,@0h:3m:41s
5324,475658,@0h:3m:42s
5335,363608,@0h:3m:42s
5669,305190,@0h:3m:56s
5868,308432,@0h:4m:4s
5934,347546,@0h:4m:7s
5982,304448,@0h:4m:9s
7997,307834,@0h:5m:33s
7998,499694,@0h:5m:33s
8002,492874,@0h:5m:33s
8003,329906,@0h:5m:33s
8123,304140,@0h:5m:38s
8124,370106,@0h:5m:38s
8125,491174,@0h:5m:39s
8129,490368,@0h:5m:39s
8130,311916,@0h:5m:39s
8162,496160,@0h:5m:40s
8164,479060,@0h:5m:40s
8165,452420,@0h:5m:40s
8207,360430,@0h:5m:42s
8208,493840,@0h:5m:42s
8211,492724,@0h:5m:42s
8212,454944,@0h:5m:42s
8213,344774,@0h:5m:42s
8342,300978,@0h:5m:48s
8343,390570,@0h:5m:48s
8344,495132,@0h:5m:48s
8345,501574,@0h:5m:48s
8346,495404,@0h:5m:48s
8347,432304,@0h:5m:48s
8348,340206,@0h:5m:48s
8383,329838,@0h:5m:49s
8384,410600,@0h:5m:49s
8385,498272,@0h:5m:49s
8387,469342,@0h:5m:49s
8388,481906,@0h:5m:50s
8389,368862,@0h:5m:50s
8431,429358,@0h:5m:51s
8432,503086,@0h:5m:51s
8435,524544,@0h:5m:51s
8436,525944,@0h:5m:52s
8437,389260,@0h:5m:52s
8554,383320,@0h:5m:56s
8555,497728,@0h:5m:56s
8556,500534,@0h:5m:56s
8557,411734,@0h:5m:57s
8558,487732,@0h:5m:57s
8559,421852,@0h:5m:57s
8596,421120,@0h:5m:58s
8597,505092,@0h:5m:58s
8599,475904,@0h:5m:58s
8600,478068,@0h:5m:58s
8601,376052,@0h:5m:58s
8634,429426,@0h:5m:60s
8635,498634,@0h:5m:60s
8637,432966,@0h:5m:60s
8638,416804,@0h:5m:60s
9340,302710,@0h:6m:29s
13105,330214,@0h:9m:6s
13333,305652,@0h:9m:16s
13547,334906,@0h:9m:24s
18121,301792,@0h:12m:35s
25123,336452,@0h:17m:27s
26518,501700,@0h:18m:25s
27218,330538,@0h:18m:54s
27261,480964,@0h:18m:56s
27494,422212,@0h:19m:6s
28311,317458,@0h:19m:40s
30066,333346,@0h:20m:53s
31497,304862,@0h:21m:52s
32010,316204,@0h:22m:14s
32650,359318,@0h:22m:40s
34149,400494,@0h:23m:43s
34185,469138,@0h:23m:44s
34899,450896,@0h:24m:14s
37274,304174,@0h:25m:53s
37345,307492,@0h:25m:56s
37346,347664,@0h:25m:56s
42552,423848,@0h:29m:33s
42631,307302,@0h:29m:36s
42654,305718,@0h:29m:37s
42806,333570,@0h:29m:44s
49182,318140,@0h:34m:9s
50532,323992,@0h:35m:6s
51370,318220,@0h:35m:40s
51421,338002,@0h:35m:43s
51806,330358,@0h:35m:59s
51880,356908,@0h:36m:2s
51929,361264,@0h:36m:4s
52157,426874,@0h:36m:13s
52472,310612,@0h:36m:26s
53080,339710,@0h:36m:52s
53137,317468,@0h:36m:54s
53160,312222,@0h:36m:55s
54035,311032,@0h:37m:31s
56078,332678,@0h:38m:57s
59186,397978,@0h:41m:6s
59187,316272,@0h:41m:6s
59504,333086,@0h:41m:19s
63148,325622,@0h:43m:51s
64424,306690,@0h:44m:44s
65362,321272,@0h:45m:23s
65483,320656,@0h:45m:28s
65770,361820,@0h:45m:40s
65771,327874,@0h:45m:40s
66059,320752,@0h:45m:52s
66740,376516,@0h:46m:21s
66781,316800,@0h:46m:23s
67078,338272,@0h:46m:35s
67748,300032,@0h:47m:3s
68016,306712,@0h:47m:14s
69206,308150,@0h:48m:4s
70466,373746,@0h:48m:56s
71487,333562,@0h:49m:39s
73273,380412,@0h:50m:53s
73290,327166,@0h:50m:54s
73933,442788,@0h:51m:21s
74024,321730,@0h:51m:24s
83442,372114,@0h:57m:57s
83478,357818,@0h:57m:58s
83491,356898,@0h:57m:59s
84021,338040,@0h:58m:21s
84142,335900,@0h:58m:26s
84205,341236,@0h:58m:29s
86006,366618,@0h:59m:44s
90878,362602,@1h:3m:7s
91068,444952,@1h:3m:14s
91584,390216,@1h:3m:36s
93398,351806,@1h:4m:52s
98584,305028,@1h:8m:28s
101119,326440,@1h:10m:13s
101424,327930,@1h:10m:26s
103906,338570,@1h:12m:9s
106335,336138,@1h:13m:51s
106685,455120,@1h:14m:5s
107272,461840,@1h:14m:30s
110678,336898,@1h:16m:52s
110868,327700,@1h:16m:60s
114719,338766,@1h:19m:40s
114874,340698,@1h:19m:46s
114952,307800,@1h:19m:50s
115158,304054,@1h:19m:58s
116289,350394,@1h:20m:45s
116440,303376,@1h:20m:52s
119651,354474,@1h:23m:5s
119906,367508,@1h:23m:16s
123558,327418,@1h:25m:48s
123563,304978,@1h:25m:48s
123578,390050,@1h:25m:49s
123642,303382,@1h:25m:52s
123773,346404,@1h:25m:57s
123957,406140,@1h:26m:5s
124740,343968,@1h:26m:38s
125232,348092,@1h:26m:58s
125782,368382,@1h:27m:21s
125949,398446,@1h:27m:28s
125991,406014,@1h:27m:30s
126078,419416,@1h:27m:33s
126679,402690,@1h:27m:58s
126724,428838,@1h:28m:0s
126887,300306,@1h:28m:7s
126911,373054,@1h:28m:8s
126916,334498,@1h:28m:8s
127272,465096,@1h:28m:23s
127273,343292,@1h:28m:23s
127646,392032,@1h:28m:39s
127673,375932,@1h:28m:40s
127835,317504,@1h:28m:46s
127836,470484,@1h:28m:46s
127837,499722,@1h:28m:47s
127838,491796,@1h:28m:47s
127889,316290,@1h:28m:49s
127919,361180,@1h:28m:50s
127955,347398,@1h:28m:51s
127958,312948,@1h:28m:52s
127959,340426,@1h:28m:52s
128000,321358,@1h:28m:53s
128395,395908,@1h:29m:10s
129341,319018,@1h:29m:49s
129390,307366,@1h:29m:51s
129393,348370,@1h:29m:51s
129400,322148,@1h:29m:52s
129413,416154,@1h:29m:52s
129454,440520,@1h:29m:54s
129489,311572,@1h:29m:55s
129515,304456,@1h:29m:56s
129516,352638,@1h:29m:56s
129544,413376,@1h:29m:58s
129727,313876,@1h:30m:5s
129783,414558,@1h:30m:8s
129857,416698,@1h:30m:11s
129932,396782,@1h:30m:14s
130018,363824,@1h:30m:17s
130283,466704,@1h:30m:28s
130328,378478,@1h:30m:30s
130816,335446,@1h:30m:51s
131502,307098,@1h:31m:19s
131943,385378,@1h:31m:38s
132013,382584,@1h:31m:41s
133281,308600,@1h:32m:33s
135372,343592,@1h:34m:0s
