Frame,Differences,Time
299,403666,@0h:0m:12s
300,335108,@0h:0m:12s
934,438440,@0h:0m:39s
936,594546,@0h:0m:39s
1095,323546,@0h:0m:46s
1097,590642,@0h:0m:46s
2779,432998,@0h:1m:56s
3415,331512,@0h:2m:22s
6243,357896,@0h:4m:20s
6267,399184,@0h:4m:21s
6354,398002,@0h:4m:25s
13992,557354,@0h:9m:43s
13994,558362,@0h:9m:43s
14204,569222,@0h:9m:52s
14207,567738,@0h:9m:52s
14337,548260,@0h:9m:57s
14340,541674,@0h:9m:58s
14510,361652,@0h:10m:5s
20074,326052,@0h:13m:56s
20388,352094,@0h:14m:10s
20802,501510,@0h:14m:27s
20806,443542,@0h:14m:27s
20810,436806,@0h:14m:27s
20812,559366,@0h:14m:27s
20850,549538,@0h:14m:29s
20853,499202,@0h:14m:29s
20854,499566,@0h:14m:29s
20857,548346,@0h:14m:29s
20938,543580,@0h:14m:32s
20941,418054,@0h:14m:33s
20942,361616,@0h:14m:33s
20945,427064,@0h:14m:33s
20947,322900,@0h:14m:33s
20948,548886,@0h:14m:33s
20951,546720,@0h:14m:33s
20989,554148,@0h:14m:35s
20992,562998,@0h:14m:35s
20993,531052,@0h:14m:35s
20996,543444,@0h:14m:35s
21051,439586,@0h:14m:37s
21053,411820,@0h:14m:37s
21223,368402,@0h:14m:44s
21224,440380,@0h:14m:44s
21225,591308,@0h:14m:44s
21227,591290,@0h:14m:44s
21228,591214,@0h:14m:44s
21229,591140,@0h:14m:45s
21237,399982,@0h:14m:45s
21238,443582,@0h:14m:45s
21239,590458,@0h:14m:45s
21244,591278,@0h:14m:45s
21245,591278,@0h:14m:45s
21247,591280,@0h:14m:45s
21340,326698,@0h:14m:49s
22519,338746,@0h:15m:38s
23901,462490,@0h:16m:36s
24444,425280,@0h:16m:58s
25077,359022,@0h:17m:25s
25370,560820,@0h:17m:37s
25371,592630,@0h:17m:37s
25374,598342,@0h:17m:37s
25375,380922,@0h:17m:37s
25376,374312,@0h:17m:37s
25377,561356,@0h:17m:37s
27374,335486,@0h:19m:1s
31255,327710,@0h:21m:42s
31583,366356,@0h:21m:56s
31597,446682,@0h:21m:57s
31622,408058,@0h:21m:58s
31633,399356,@0h:21m:58s
33533,421162,@0h:23m:17s
33657,356418,@0h:23m:22s
34206,336078,@0h:23m:45s
35746,361728,@0h:24m:49s
35770,327596,@0h:24m:50s
35912,411804,@0h:24m:56s
36702,400808,@0h:25m:29s
36833,342102,@0h:25m:35s
37580,551834,@0h:26m:6s
37695,457552,@0h:26m:11s
37725,370464,@0h:26m:12s
37752,451108,@0h:26m:13s
37776,523400,@0h:26m:14s
37875,407098,@0h:26m:18s
37912,372860,@0h:26m:20s
37948,509694,@0h:26m:21s
38006,405672,@0h:26m:24s
38093,351184,@0h:26m:27s
38142,322644,@0h:26m:29s
38175,321518,@0h:26m:31s
38200,372972,@0h:26m:32s
38434,351558,@0h:26m:41s
38681,330284,@0h:26m:52s
38808,381104,@0h:26m:57s
38856,322682,@0h:26m:59s
38894,323784,@0h:27m:1s
38975,345242,@0h:27m:4s
39163,365530,@0h:27m:12s
39187,433586,@0h:27m:13s
39369,350844,@0h:27m:20s
39637,380022,@0h:27m:32s
39736,497372,@0h:27m:36s
39752,362036,@0h:27m:36s
39795,335218,@0h:27m:38s
39808,398254,@0h:27m:39s
39837,325454,@0h:27m:40s
39905,553706,@0h:27m:43s
40554,468788,@0h:28m:10s
40638,368662,@0h:28m:13s
46141,435606,@0h:32m:3s
46175,359672,@0h:32m:4s
46259,321656,@0h:32m:7s
46295,374718,@0h:32m:9s
48646,386854,@0h:33m:47s
48984,397548,@0h:34m:1s
52541,461524,@0h:36m:29s
53109,328508,@0h:36m:53s
54798,351744,@0h:38m:3s
55383,371952,@0h:38m:28s
55620,424312,@0h:38m:38s
55879,462894,@0h:38m:48s
56341,322372,@0h:39m:8s
56952,378764,@0h:39m:33s
57846,381920,@0h:40m:10s
58105,336876,@0h:40m:21s
58142,473486,@0h:40m:23s
58182,469598,@0h:40m:24s
58414,388994,@0h:40m:34s
58415,390364,@0h:40m:34s
58921,330588,@0h:40m:55s
58932,353818,@0h:40m:56s
58940,391804,@0h:40m:56s
58951,386002,@0h:40m:56s
58960,335104,@0h:40m:57s
58974,380876,@0h:40m:57s
59007,385256,@0h:40m:59s
59021,323718,@0h:40m:59s
59034,353932,@0h:40m:60s
59049,365046,@0h:41m:0s
59059,352104,@0h:41m:1s
