Frame,Differences,Time
1426,406255.20000000007,@0h:0m:59s
1427,439650.80000000005,@0h:0m:59s
5308,447530.80000000005,@0h:3m:41s
5324,401300.00000000006,@0h:3m:42s
7998,499473.20000000007,@0h:5m:33s
8002,494305.2,@0h:5m:33s
8125,487989.6,@0h:5m:39s
8129,494117.6,@0h:5m:39s
8162,496043.60000000003,@0h:5m:40s
8164,475968.0,@0h:5m:40s
8165,456972.4,@0h:5m:40s
8208,493480.4,@0h:5m:42s
8211,459882.80000000005,@0h:5m:42s
8212,451465.20000000007,@0h:5m:42s
8344,483952.80000000005,@0h:5m:48s
8345,504858.4,@0h:5m:48s
8346,490175.2,@0h:5m:48s
8347,433355.60000000003,@0h:5m:48s
8384,413771.6,@0h:5m:49s
8385,497334.4,@0h:5m:49s
8387,469031.2,@0h:5m:49s
8388,480610.0,@0h:5m:50s
8431,431022.0,@0h:5m:51s
8432,502104.0,@0h:5m:51s
8435,524544.0,@0h:5m:51s
8436,524490.8,@0h:5m:52s
8555,494542.4,@0h:5m:56s
8556,502114.0,@0h:5m:56s
8557,405280.4,@0h:5m:57s
8558,490147.60000000003,@0h:5m:57s
8559,423248.80000000005,@0h:5m:57s
8596,422795.20000000007,@0h:5m:58s
8597,503512.80000000005,@0h:5m:58s
8599,478031.2,@0h:5m:58s
8600,474904.4,@0h:5m:58s
8634,428983.60000000003,@0h:5m:60s
8635,495601.20000000007,@0h:5m:60s
8637,471166.8,@0h:5m:60s
8638,422838.4,@0h:5m:60s
26518,502314.4,@0h:18m:25s
27261,411751.2,@0h:18m:56s
27494,431914.80000000005,@0h:19m:6s
34185,469860.00000000006,@0h:23m:44s
34899,450886.4,@0h:24m:14s
42552,424670.80000000005,@0h:29m:33s
52157,426097.2,@0h:36m:13s
73933,420246.4,@0h:51m:21s
91584,414745.20000000007,@1h:3m:36s
106685,455960.80000000005,@1h:14m:5s
107272,463148.0,@1h:14m:30s
123957,410437.2,@1h:26m:5s
126078,409829.20000000007,@1h:27m:33s
126679,401180.0,@1h:27m:58s
126724,435153.60000000003,@1h:28m:0s
127272,462021.60000000003,@1h:28m:23s
127836,471504.4,@1h:28m:46s
127837,500215.6,@1h:28m:47s
127838,494215.2,@1h:28m:47s
128395,411682.0,@1h:29m:10s
129413,408990.00000000006,@1h:29m:52s
129454,432771.60000000003,@1h:29m:54s
129544,410292.4,@1h:29m:58s
130283,460324.00000000006,@1h:30m:28s
