Frame,Differences,Time
936,506669.99999999994,@0h:0m:39s
1097,590459.3333333333,@0h:0m:46s
13992,533956.6666666666,@0h:9m:43s
13994,531620.0,@0h:9m:43s
14204,552160.6666666666,@0h:9m:52s
14207,550600.6666666666,@0h:9m:52s
14337,534417.3333333333,@0h:9m:57s
14340,527613.3333333333,@0h:9m:58s
20802,503661.3333333333,@0h:14m:27s
20812,558713.3333333333,@0h:14m:27s
20850,550422.0,@0h:14m:29s
20853,507206.6666666666,@0h:14m:29s
20854,507038.6666666666,@0h:14m:29s
20857,549585.3333333333,@0h:14m:29s
20938,547306.6666666666,@0h:14m:32s
20948,548236.6666666666,@0h:14m:33s
20951,546115.3333333333,@0h:14m:33s
20989,554178.0,@0h:14m:35s
20992,566146.0,@0h:14m:35s
20993,535308.6666666666,@0h:14m:35s
20996,547121.3333333333,@0h:14m:35s
21225,591301.3333333333,@0h:14m:44s
21227,591290.0,@0h:14m:44s
21228,591212.0,@0h:14m:44s
21229,591012.6666666666,@0h:14m:45s
21239,584244.0,@0h:14m:45s
21244,591243.3333333333,@0h:14m:45s
21245,591243.3333333333,@0h:14m:45s
21247,591260.0,@0h:14m:45s
25370,558526.6666666666,@0h:17m:37s
25371,592344.6666666666,@0h:17m:37s
25374,597474.6666666666,@0h:17m:37s
25377,556255.3333333333,@0h:17m:37s
37580,530949.3333333333,@0h:26m:6s
37776,511366.0,@0h:26m:14s
37948,502853.3333333333,@0h:26m:21s
39905,553491.3333333333,@0h:27m:43s
59818,508949.3333333333,@0h:41m:32s
66836,583837.3333333333,@0h:46m:25s
66837,575986.0,@0h:46m:25s
66851,575213.3333333333,@0h:46m:25s
66852,587217.3333333333,@0h:46m:26s
66863,557940.0,@0h:46m:26s
66864,565265.3333333333,@0h:46m:26s
67141,523775.3333333333,@0h:46m:38s
67502,546425.3333333333,@0h:46m:53s
69147,502461.3333333333,@0h:48m:1s
69148,554921.3333333333,@0h:48m:1s
69150,525633.3333333333,@0h:48m:1s
69151,516377.99999999994,@0h:48m:1s
69219,538300.6666666666,@0h:48m:4s
69220,588916.6666666666,@0h:48m:4s
69223,523273.3333333333,@0h:48m:4s
69224,524978.6666666666,@0h:48m:4s
69225,507762.6666666666,@0h:48m:4s
69239,518495.3333333333,@0h:48m:5s
69240,522832.6666666666,@0h:48m:5s
69273,568530.0,@0h:48m:6s
69277,553898.0,@0h:48m:7s
69319,559181.3333333333,@0h:48m:8s
69320,591469.3333333333,@0h:48m:8s
69321,562199.3333333333,@0h:48m:8s
69322,523631.99999999994,@0h:48m:8s
69336,523583.33333333326,@0h:48m:9s
69337,525092.6666666666,@0h:48m:9s
72452,504183.33333333326,@0h:50m:19s
72791,506071.3333333333,@0h:50m:33s
87863,561424.6666666666,@1h:1m:1s
87864,556937.3333333333,@1h:1m:1s
92564,575186.6666666666,@1h:4m:17s
92566,572955.3333333333,@1h:4m:17s
93199,578557.3333333333,@1h:4m:43s
93201,577385.3333333333,@1h:4m:43s
97035,545958.6666666666,@1h:7m:23s
97038,585562.6666666666,@1h:7m:23s
97039,558899.3333333333,@1h:7m:23s
97040,590344.0,@1h:7m:23s
97042,574458.0,@1h:7m:23s
97845,500848.6666666666,@1h:7m:57s
99218,572094.6666666666,@1h:8m:54s
99219,588230.6666666666,@1h:8m:54s
99523,526780.6666666666,@1h:9m:7s
99739,595170.0,@1h:9m:16s
118172,547873.3333333333,@1h:22m:4s
130519,569557.3333333333,@1h:30m:38s
143046,572886.0,@1h:39m:20s
143835,537807.3333333333,@1h:39m:53s
151951,531759.3333333333,@1h:45m:31s
166395,587874.0,@1h:55m:33s
