Frame,Differences,Time
253,400586.8333333333,@0h:0m:11s
254,413352.625,@0h:0m:11s
255,420725.7916666667,@0h:0m:11s
256,429140.5833333333,@0h:0m:11s
257,438896.4166666667,@0h:0m:11s
258,440673.4583333333,@0h:0m:11s
259,443868.5,@0h:0m:11s
260,441722.4583333333,@0h:0m:11s
261,439192.4166666667,@0h:0m:11s
262,428746.7916666667,@0h:0m:11s
263,418270.3333333333,@0h:0m:11s
264,407764.25,@0h:0m:11s
459,456784.6666666667,@0h:0m:19s
460,448159.0833333333,@0h:0m:19s
461,441800.75,@0h:0m:19s
462,433267.3333333333,@0h:0m:19s
463,423848.5833333333,@0h:0m:19s
464,414643.75,@0h:0m:19s
465,405905.7916666667,@0h:0m:19s
1426,492959.5833333333,@0h:0m:59s
1427,504174.125,@0h:0m:59s
1428,495216.6666666667,@0h:0m:60s
1429,488257.25,@0h:0m:60s
1430,477692.1666666667,@0h:0m:60s
1431,467135.125,@0h:0m:60s
1432,456536.2916666667,@0h:0m:60s
1433,445938.2083333333,@0h:0m:60s
1434,435340.125,@0h:0m:60s
1435,424744.7916666667,@0h:0m:60s
1436,414143.4166666667,@0h:0m:60s
1437,403546.5,@0h:0m:60s
1516,442002.375,@0h:1m:3s
1517,437844.0,@0h:1m:3s
1518,430734.4166666667,@0h:1m:3s
1519,423453.9583333333,@0h:1m:3s
1520,424452.2916666667,@0h:1m:3s
1521,435068.9583333333,@0h:1m:3s
1522,431887.5,@0h:1m:3s
1523,425072.0,@0h:1m:3s
1524,421394.375,@0h:1m:4s
1525,418311.75,@0h:1m:4s
1526,415756.5,@0h:1m:4s
1527,409312.4583333333,@0h:1m:4s
1528,406008.7083333333,@0h:1m:4s
5306,478236.4166666667,@0h:3m:41s
5307,460700.2083333333,@0h:3m:41s
5318,401711.2916666667,@0h:3m:42s
5319,411066.0416666667,@0h:3m:42s
5320,426925.0833333333,@0h:3m:42s
5321,431557.9583333333,@0h:3m:42s
5322,435447.9166666667,@0h:3m:42s
5323,436180.6666666667,@0h:3m:42s
7997,448767.375,@0h:5m:33s
7998,498347.5,@0h:5m:33s
7999,488747.5833333333,@0h:5m:33s
8000,479056.3333333333,@0h:5m:33s
8001,468752.9583333333,@0h:5m:33s
8124,426990.5833333333,@0h:5m:38s
8125,495244.9166666667,@0h:5m:39s
8126,485853.2916666667,@0h:5m:39s
8127,477065.9583333333,@0h:5m:39s
8128,467413.1666666667,@0h:5m:39s
8129,435211.7916666667,@0h:5m:39s
8162,499332.9583333333,@0h:5m:40s
8163,489101.4583333333,@0h:5m:40s
8164,467825.125,@0h:5m:40s
8207,418084.375,@0h:5m:42s
8208,476764.7916666667,@0h:5m:42s
8209,466934.5416666667,@0h:5m:42s
8210,456896.5416666667,@0h:5m:42s
8211,479089.875,@0h:5m:42s
8343,440360.3333333333,@0h:5m:48s
8344,498459.3333333333,@0h:5m:48s
8345,496370.0833333333,@0h:5m:48s
8346,453717.125,@0h:5m:48s
8384,442674.5416666667,@0h:5m:49s
8385,500235.25,@0h:5m:49s
8386,489907.2083333333,@0h:5m:49s
8387,491052.625,@0h:5m:49s
8431,434412.7916666667,@0h:5m:51s
8432,482698.5833333333,@0h:5m:51s
8433,472294.1666666667,@0h:5m:51s
8434,471768.75,@0h:5m:51s
8435,523461.75,@0h:5m:51s
8555,498931.6666666667,@0h:5m:56s
8556,495418.5833333333,@0h:5m:56s
8557,492736.1666666667,@0h:5m:57s
8558,417868.2916666667,@0h:5m:57s
8596,411005.0416666667,@0h:5m:58s
8597,504629.875,@0h:5m:58s
8598,496006.4583333333,@0h:5m:58s
8599,494184.0416666667,@0h:5m:58s
8634,439320.2083333333,@0h:5m:60s
8635,480177.375,@0h:5m:60s
8636,470636.9166666667,@0h:5m:60s
8637,463135.2083333333,@0h:5m:60s
9746,406022.6666666667,@0h:6m:46s
9747,400627.25,@0h:6m:46s
9749,404752.4583333333,@0h:6m:46s
10141,404676.75,@0h:7m:3s
10142,411698.5,@0h:7m:3s
10143,406619.875,@0h:7m:3s
10144,419653.4166666667,@0h:7m:3s
10145,415754.7916666667,@0h:7m:3s
10146,411813.4583333333,@0h:7m:3s
10147,408542.3333333333,@0h:7m:3s
10148,413872.125,@0h:7m:3s
10149,405083.9166666667,@0h:7m:3s
10150,405658.375,@0h:7m:3s
10151,408339.8333333333,@0h:7m:3s
10152,402981.125,@0h:7m:3s
10153,402313.7916666667,@0h:7m:3s
10155,400859.2083333333,@0h:7m:3s
18149,417705.5,@0h:12m:36s
18150,408271.2916666667,@0h:12m:36s
26518,501959.5833333333,@0h:18m:25s
26519,491873.375,@0h:18m:25s
26520,483829.2916666667,@0h:18m:25s
26521,473580.1666666667,@0h:18m:25s
26522,463004.0,@0h:18m:25s
26523,452625.5416666667,@0h:18m:25s
26524,442190.5833333333,@0h:18m:25s
26525,431708.8333333333,@0h:18m:25s
26526,421059.3333333333,@0h:18m:25s
26527,410505.2083333333,@0h:18m:25s
26559,453660.9166666667,@0h:18m:27s
26560,442245.75,@0h:18m:27s
26561,449502.8333333333,@0h:18m:27s
26562,428305.8333333333,@0h:18m:27s
26563,418320.2083333333,@0h:18m:27s
26564,413094.375,@0h:18m:27s
26565,405232.625,@0h:18m:27s
27261,436782.9583333333,@0h:18m:56s
27262,427546.9583333333,@0h:18m:56s
27263,418283.3333333333,@0h:18m:56s
